frame,ID,x,y
0,1,578.6786193847656,306.4333953857422
0,2,474.14601135253906,374.06712341308594
0,3,557.2578735351562,281.0043640136719
0,4,323.4420623779297,358.72705078125
0,5,201.05419921874997,375.5021209716797
0,6,292.91192626953125,365.76031494140625
0,7,555.8185424804688,376.50502014160156
0,8,161.45860290527344,371.8001708984375
0,9,139.27083587646484,373.2127685546875
0,10,454.3345489501953,374.2373962402344
0,11,60.745155334472656,373.54315185546875
0,12,324.8549041748047,375.45338439941406
0,13,594.76025390625,371.0992126464844
0,14,444.4220275878906,373.8333282470703
0,15,312.87693786621094,372.16416931152344
0,16,78.15641403198242,372.0337219238281
0,17,586.9667663574219,375.69960021972656
0,18,192.79823303222656,374.3341064453125
0,19,185.02415466308594,373.6246032714844
1,1,578.8052673339844,306.22889709472656
1,2,474.63568115234375,373.54100036621094
1,3,557.4493408203125,281.6090393066406
1,4,331.30181884765625,364.06512451171875
1,5,201.03834533691406,375.5663299560547
1,6,294.21632385253906,364.8796081542969
1,7,555.7986145019531,376.6460266113281
1,8,161.89378356933594,371.86305236816406
1,9,140.19583892822266,374.0959930419922
1,10,455.1844482421875,374.4120483398438
1,11,59.535539627075195,372.96592712402344
1,12,324.3554382324219,375.95045471191406
1,13,595.9521789550781,369.6678009033203
1,14,444.6713409423828,373.85198974609375
1,15,313.44610595703125,372.3310852050781
1,16,77.71233367919922,372.8091583251953
1,17,586.5848083496094,375.43800354003906
1,18,302.85107421875,374.1666259765625
1,19,184.644287109375,373.7487030029297
2,1,578.8851013183594,305.9341735839844
2,2,474.2980499267578,374.19958496093756
2,3,557.4327087402344,281.68125915527344
2,4,303.8865509033203,373.6768493652344
2,5,201.60217285156253,375.8788757324219
2,6,296.03553771972656,364.36497497558594
2,7,555.8660278320312,376.8179931640625
2,8,160.2796630859375,372.13734436035156
2,9,139.1230239868164,374.3887939453125
2,10,453.9373016357422,372.7066192626953
2,11,60.45219612121582,373.2911834716797
2,12,326.14019775390625,375.10435485839844
2,13,596.5796813964844,368.3171691894531
2,15,312.7559814453125,373.4094543457031
2,16,77.62739562988281,372.5697021484375
