1,19,124.514,434.511,5.308,10.582,1,1,1.0
1,22,155.990,436.530,6.110,5.800,1,1,1.0
1,26,165.349,435.331,6.672,5.971,1,1,1.0
1,28,180.312,439.477,5.068,5.184,1,1,1.0
1,40,408.320,440.429,5.658,4.485,1,1,1.0
1,41,407.426,440.572,4.991,6.216,1,1,1.0
1,42,415.388,423.786,4.390,9.831,1,1,1.0
1,43,423.978,440.610,5.217,4.103,1,1,1.0
1,44,380.794,359.490,5.576,5.407,1,1,1.0
1,45,552.126,409.495,4.997,6.964,1,1,1.0
1,47,507.012,440.454,4.479,4.027,1,1,1.0
1,47,502.708,414.063,5.597,7.594,1,1,1.0
1,48,502.998,414.516,4.991,6.216,1,1,1.0
1,49,527.681,439.757,5.617,4.295,1,1,1.0
1,50,558.498,385.791,3.725,7.321,1,1,1.0
1,54,532.580,440.678,6.233,4.991,1,1,1.0
1,55,547.366,440.740,4.810,4.834,1,1,1.0
1,57,618.622,443.741,6.913,4.598,1,1,1.0
1,59,634.494,441.339,4.991,6.216,1,1,1.0
1,60,627.300,440.721,4.991,6.216,1,1,1.0
1,61,681.142,427.324,3.502,6.735,1,1,1.0
1,62,658.327,439.259,4.872,3.977,1,1,1.0
1,63,671.947,441.877,3.532,3.995,1,1,1.0
1,66,647.193,440.721,4.991,6.216,1,1,1.0
1,6366,24.008,430.205,4.970,10.989,1,1,1.0
1,6367,24.030,434.565,5.000,6.000,1,1,1.0
1,6368,46.562,437.955,6.284,4.637,1,1,1.0
1,6369,51.803,402.196,6.716,5.840,1,1,1.0
1,6370,62.853,439.094,5.000,6.000,1,1,1.0
1,6372,62.426,439.358,7.943,4.894,1,1,1.0
1,6373,32.673,436.883,7.259,5.903,1,1,1.0
1,6388,250.200,438.004,6.948,5.457,1,1,1.0
1,6389,272.533,421.026,3.902,9.278,1,1,1.0
1,6390,293.488,439.190,5.000,6.000,1,1,1.0
1,6391,289.244,440.260,9.868,5.016,1,1,1.0
1,6392,308.385,433.809,5.877,4.356,1,1,1.0
1,6393,283.901,431.347,7.662,6.555,1,1,1.0
2,19,123.938,436.347,6.301,8.660,1,1,1.0
2,22,155.189,436.444,6.396,5.684,1,1,1.0
2,28,180.309,438.863,4.884,5.668,1,1,1.0
2,40,407.420,440.513,6.034,5.113,1,1,1.0
2,41,406.976,440.572,4.991,6.216,1,1,1.0
2,42,414.750,423.525,4.363,10.155,1,1,1.0
2,43,425.249,441.459,5.074,4.754,1,1,1.0
2,44,382.172,358.136,5.762,5.777,1,1,1.0
2,45,554.056,417.748,6.976,4.214,1,1,1.0
2,47,506.921,440.305,4.230,4.013,1,1,1.0
2,48,502.668,414.091,5.563,7.597,1,1,1.0
2,49,527.533,439.051,4.991,6.216,1,1,1.0
2,50,557.886,385.424,4.283,7.293,1,1,1.0
2,51,526.301,439.393,5.707,4.112,1,1,1.0
2,54,531.932,440.524,6.466,4.619,1,1,1.0
2,55,546.682,440.810,5.292,4.915,1,1,1.0
2,57,619.078,444.050,7.085,4.138,1,1,1.0
2,59,632.915,441.783,4.784,4.014,1,1,1.0
2,60,626.960,441.197,4.991,6.216,1,1,1.0
2,61,680.042,425.485,3.652,7.610,1,1,1.0
2,62,657.913,439.776,4.227,3.887,1,1,1.0
2,63,671.449,441.980,3.436,4.310,1,1,1.0
2,66,645.885,440.007,4.991,6.216,1,1,1.0
2,6366,14.103,409.196,4.535,6.819,1,1,1.0
2,6367,24.228,431.358,4.950,8.918,1,1,1.0
2,6368,47.419,437.987,6.236,4.539,1,1,1.0
2,6369,52.911,401.600,6.889,5.621,1,1,1.0
2,6370,63.100,439.404,5.000,6.000,1,1,1.0
2,6372,62.677,439.422,7.679,4.914,1,1,1.0
2,6373,32.943,437.118,7.059,5.553,1,1,1.0
2,6388,250.101,438.260,7.019,5.415,1,1,1.0
2,6389,272.625,419.738,4.254,9.492,1,1,1.0
2,6390,287.690,440.210,6.933,5.650,1,1,1.0
2,6391,288.510,440.400,5.000,6.000,1,1,1.0
2,6392,291.383,440.471,7.898,4.724,1,1,1.0
2,6393,284.775,430.782,7.441,6.055,1,1,1.0
3,19,124.873,435.591,5.258,9.328,1,1,1.0
3,22,154.729,436.585,5.985,5.667,1,1,1.0
3,28,177.606,430.894,5.215,4.330,1,1,1.0
3,40,411.363,439.477,4.887,4.894,1,1,1.0
3,41,407.106,441.135,4.901,5.186,1,1,1.0
3,42,415.052,422.020,4.238,9.712,1,1,1.0
