frame,ID,x,y,x1,y1,x2,y2
0,5,36.30289840698242,439.8348083496094,32.67333221435547,436.8831176757813,39.932464599609375,442.7864990234375
0,6,26.492977142333984,435.69935607910156,24.00819206237793,430.2046508789063,28.97776222229004,441.1940612792969
0,7,66.3972396850586,441.804931640625,62.42577362060547,439.3580627441406,70.36870574951172,444.2518005371094
0,13,49.704315185546875,440.27320861816406,46.562137603759766,437.9548645019531,52.846492767333984,442.591552734375
0,16,55.161075592041016,405.11614990234375,51.80301284790039,402.19622802734375,58.51913833618164,408.03607177734375
0,19,127.16849517822266,439.8021697998047,124.51431274414062,434.5110168457031,129.8226776123047,445.0933227539063
0,22,159.04486083984375,439.4294891357422,155.98977661132812,436.5296020507813,162.09994506835938,442.3293762207031
0,26,168.68458557128906,438.3161926269531,165.34878540039062,435.3306884765625,172.0203857421875,441.30169677734375
0,28,182.8465347290039,442.0685729980469,180.3124237060547,439.4765930175781,185.38064575195312,444.6605529785156
0,32,253.67364501953125,440.7318725585938,250.1995849609375,438.0036010742188,257.147705078125,443.4601440429688
0,36,294.17840576171875,442.76844787597656,289.2442321777344,440.2604370117188,299.1125793457031,445.2764587402344
0,37,274.484375,425.6648712158203,272.5334777832031,421.0259704589844,276.4352722167969,430.30377197265625
0,38,311.3235321044922,435.9875183105469,308.3848571777344,433.8093872070313,314.26220703125,438.1656494140625
0,39,287.73207092285156,434.6249084472656,283.9009704589844,431.3474731445313,291.56317138671875,437.90234375
0,40,411.1488342285156,442.6714630126953,408.3197021484375,440.4288940429688,413.97796630859375,444.9140319824219
0,41,409.9211020689727,443.68033542098294,407.4256034117461,440.57233371199857,412.41660072619925,446.7883371299673
0,42,417.58277893066406,428.7010955810547,415.38763427734375,423.7857360839844,419.7779235839844,433.616455078125
0,43,426.5865020751953,442.66168212890625,423.9778137207031,440.6103210449219,429.1951904296875,444.7130432128906
0,44,383.58250427246094,362.1929168701172,380.7944946289063,359.4895935058594,386.3705139160156,364.896240234375
0,45,554.6245422363281,412.9767303466797,552.1258544921875,409.4949035644531,557.1232299804688,416.4585571289063
0,47,509.25144958496094,442.46803283691406,507.011962890625,440.4544372558594,511.4909362792969,444.4816284179688
0,47,505.50608825683594,417.8597869873047,502.7075805664063,414.0628051757813,508.3045959472656,421.6567687988281
0,48,505.49347075902693,417.6240177768505,502.99797210180037,414.5160160678661,507.9889694162535,420.73201948583494
0,49,530.4889221191406,441.9042205810547,527.6806030273438,439.7568359375,533.2972412109375,444.0516052246094
0,50,560.3606262207031,389.45152282714844,558.498291015625,385.7908935546875,562.2229614257812,393.1121520996094
0,54,535.6962585449219,443.1739196777344,532.5796508789062,440.6783142089844,538.8128662109375,445.6695251464844
0,55,549.7714233398438,443.1565399169922,547.3663330078125,440.73974609375,552.176513671875,445.5733337402344
0,57,622.0785522460938,446.0402374267578,618.6219482421875,443.7413635253906,625.53515625,448.339111328125
0,59,636.989788563811,444.44734725229443,634.4942899065844,441.33934554331006,639.4852872210375,447.5553489612788
