frame,ID,x,y,x1,y1,x2,y2
0,6,26.33094787597656,395.1307830810547,23.98261260986328,391.82177734375,28.679283142089844,398.4397888183594
1,6,26.28541851043701,395.3579406738281,23.75836753845215,392.8592529296875,28.812469482421875,397.8566284179688
2,6,24.573742413204982,396.7701800769246,22.17361118761902,392.6870807116902,26.973873638790952,400.85327944215896
71,41,555.9103698730469,398.23736572265625,551.7474365234375,394.9158935546875,560.0733032226562,401.558837890625
88,15,141.30166625976562,220.74935150146484,139.0766143798828,217.54031372070312,143.52671813964844,223.95838928222656
108,13,160.97364807128906,29.63627052307129,158.3503875732422,27.01018142700196,163.59690856933594,32.262359619140625
109,13,162.26068878173828,29.522741317749023,159.10665893554688,27.051626205444336,165.4147186279297,31.99385643005371
110,13,163.3644790649414,29.334233283996586,159.80191040039062,26.90467834472656,166.9270477294922,31.7637882232666
111,13,164.99567413330078,29.250118255615234,160.20509338378906,26.509185791015625,169.7862548828125,31.991050720214844
152,22,275.6855010986328,30.016603469848636,273.31072998046875,27.12701416015625,278.0602722167969,32.906192779541016
153,43,563.8742980957031,402.0063934326172,560.6947021484375,400.14361572265625,567.0538940429688,403.8691711425781
154,43,564.2091979980469,401.9101409912109,561.2095947265625,399.9739379882813,567.2088012695312,403.8463439941406
155,43,564.0652770996094,401.97813415527344,561.1239624023438,400.0660705566406,567.006591796875,403.8901977539063
168,37,475.4281921386719,32.40627193450928,473.4009094238281,29.52687263488769,477.4554748535156,35.28567123413086
255,8,74.72843170166016,29.79174518585205,72.42684173583984,27.63222312927246,77.03002166748047,31.95126724243164
270,20,205.97341918945312,29.41633415222168,202.83316040039065,26.970703125,209.1136779785156,31.86196517944336
271,20,206.4908218383789,29.8560152053833,203.73080444335932,27.161340713500977,209.25083923339844,32.550689697265625
272,35,405.2762908935547,34.147467613220215,403.1508483886719,30.630704879760746,407.4017333984375,37.66423034667969
274,35,459.3707885742188,70.51369094848633,452.0562438964844,65.26636505126953,466.6853332519531,75.76101684570312
275,35,452.863037109375,90.10310745239258,449.5496520996094,86.04718780517578,456.1764221191406,94.15902709960938
276,35,459.2796936035156,102.29747009277344,455.5419921875,99.77576446533205,463.0173950195313,104.81917572021484
